"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
40,4087711.5419999994,4700537.766000006,-253680.0,21460264.6663117,29539671.05138267,8079406.385070968,618583.4098669104,0.09794551287654281,0.0002683438708946378,2.6095946167560387,-0.015860743882925726,3757.8162481286954,88499,221.75999999999698,5756.137000003877
41,4700537.766000006,4604718.201000003,-939530.0,21472567.13021626,29439994.345455673,7967427.215239413,-87374.24202243425,0.14361373546984732,0.0003934622889584858,2.67941869593456,-0.04566822259330452,3858.3629221457663,90626,221.75999999999698,8444.101000004102
42,4604718.201000003,4496812.328000003,-345670.0,21486086.335516583,29328243.042542543,7842156.70702596,-98232.09761280473,0.16440957376817936,0.0004504371884059708,2.6712029987523933,-0.020795838298332047,3846.5323182034463,92724,220.31999999999698,9672.673000006616
43,4496812.328000003,4551489.466999998,-446790.0,21501117.954458103,29379088.508142997,7877970.553684894,65877.08454197086,0.1902278061517141,0.0005211720716485318,2.661488860237387,-0.025818232383534766,3832.5439587418373,94933,226.08000000000598,11199.075000006786
44,4551489.466999998,3630622.7219999996,1181550.0,21513034.430445373,28454379.222852215,6941344.792406842,-912792.8093035109,0.13703751658384647,0.00037544525091464786,2.6691847277620258,0.053190289567867644,3843.626007977317,97102,182.8800000000023,8072.850000004019
45,3630622.7219999996,3327493.0140000046,6255980.0,21518208.038773477,28147574.72243536,6629366.683661882,-301630.8920887532,0.025425251031483923,6.965822200406554e-05,2.5539669214580494,0.11161226555236255,3677.7123668995914,99183,169.91999999999592,1495.8959999987073
46,3327493.0140000046,2984390.6690000016,-5410700.0,21529641.187611364,27800866.064697962,6271224.877086598,-335275.5088995113,0.13273950591613254,0.0003636698792222809,2.505290180124815,-0.10731425488464862,3607.6178593797335,101285,155.52000000000268,7825.531000004268
47,2984390.6690000016,3117134.1869999953,2049370.0,21536671.11810257,27930095.426460583,6393424.308358014,136259.29225382442,0.05959449348386529,0.00016327258488730217,2.441747585034235,0.07314501243226725,3516.116522449299,103428,165.60000000000048,3513.8140000034955
48,3117134.1869999953,3459782.2939999956,-1111760.0,21546755.14043466,28269189.948109306,6722434.807674646,349178.5439808131,0.11065851655655659,0.00030317401796316873,2.4689349702724064,-0.0510640230726913,3555.2663571922653,105636,185.75999999999786,6528.7560000047515
49,3459782.2939999956,3359464.5310000004,-2446700.0,21561640.972577527,28165228.69731431,6603587.724736784,-89075.41865212843,0.19041204500384917,0.0005216768356269841,2.530978585675292,-0.0797535284472926,3644.6091633724204,107829,181.44000000000398,11241.223000007687
50,3359464.5310000004,2955060.810000002,-25960.0,21576618.148062527,27757203.315376136,6180585.167313609,-393048.2064531748,0.1921962485748462,0.0005265650645886197,2.515880211991831,-0.001784203570997046,3622.8675052682365,110005,162.7199999999994,11354.308000008143
51,2955060.810000002,2188321.885000001,2002620.0,21587226.243789524,26986950.978308253,5399724.734518729,-759644.2413408859,0.11999738435344323,0.0003287599571327212,2.440994273336861,0.07219886422140298,3515.0317536050798,112121,122.39999999999625,7093.064000004988
52,2188321.885000001,2512335.8650000016,-385650.0,21598898.18453616,27307735.77138037,5708837.58684421,332456.73381874897,0.1427299651028542,0.00039104100028179234,2.2434331745618334,-0.022732580749410973,3230.54377136904,114287,142.55999999999986,8441.397000005607
53,2512335.8650000016,2438718.786000002,323690.0,21609555.552143496,27230751.812332403,5621196.260188907,-66326.59144063015,0.12318281181139344,0.00033748715564765327,2.339278218374076,0.019547153291460773,3368.5606344586695,116471,139.67999999999782,7288.80700000518
54,2438718.786000002,2922051.502999998,-946010.0,21622893.703084875,27710744.56110607,6087850.858021196,493330.89971504593,0.16884995481433515,0.00046260261592968535,2.3204874763048973,-0.04566714300294172,3341.501965879052,118647,169.91999999999592,9996.649000009229
55,2922051.502999998,3146547.7330000037,1090560.0,21633429.517046735,27931730.059630174,6298300.5425834395,231521.3124859617,0.11856593642555141,0.00032483818198781206,2.4392617992712835,0.050284018388783734,3512.536990950648,120738,185.75999999999786,7023.277000005502
56,3146547.7330000037,2962137.654999999,-2277310.0,21648595.439781174,27743742.28199228,6095146.842211105,-172821.85490345396,0.19548457242659223,0.0005355741710317595,2.4856713600462843,-0.0769186360010408,3579.366758466649,122884,177.11999999999807,11586.55600000921
57,2962137.654999999,2952901.3459999943,14110.0,21663661.352121625,27730978.768320806,6067317.416199181,2302.3986689778976,0.19451339901597878,0.0005329134219615857,2.4506176139692784,0.0009711734106134471,3528.889364115761,125054,177.11999999999807,11537.023000009434
58,2952901.3459999943,3063715.947,-636500.0,21679061.003503487,27838266.150767185,6159205.147263698,122687.03382824082,0.2,0.0005479452054794521,2.450388476972749,-0.03405905863984435,3528.5594068407586,127203,188.6400000000003,11871.092000009663
59,3063715.947,2871357.2949999967,1438900.0,21690949.387335952,27642345.53269241,5951396.145356458,-184032.23424231028,0.14016487976336822,0.00038401336921470747,2.4747769875873664,0.059835120236631796,3563.6788621258074,129436,177.11999999999807,8324.705000006115
60,2871357.2949999967,2613212.827999999,6070.0,21702761.355954014,27380695.183067605,5677933.827113591,-249838.38100674376,0.13974635831021004,0.00038286673509646584,2.4359726729354776,0.00041852145315817547,3507.8006490270877,131594,164.16000000000315,8304.168000006253
61,2613212.827999999,2787111.749000001,-1083380.0,21717462.74792191,27551173.21190533,5833710.46398342,185179.4208056219,0.18968707166110346,0.0005196906072906945,2.3766499964946526,-0.04994071335089342,3422.3759949522996,133763,178.55999999999608,11279.016000010615
62,2787111.749000001,3055210.1860000007,1261240.0,21728954.513747443,27815788.9246839,6086834.410936456,276107.47860409925,0.1345843761513127,0.0003687243182227745,2.420053373030479,0.055102695509790786,3484.87685716389,135955,195.83999999999634,8006.889000006033
63,3055210.1860000007,2930464.4429999962,1899130.0,21736369.407641333,27687476.600755896,5951107.193114564,-120897.43003411079,0.0646328165043229,0.00017707620960088466,2.478774262671086,0.06995155964698979,3569.434938246364,138197,191.52000000000314,3845.459000004965
64,2930464.4429999962,2771456.176000004,-206340.0,21744524.336878534,27524937.48984994,5780413.152971406,-154384.18166875606,0.07763563382157197,0.00021270036663444377,2.453859221937205,-0.013002817317249072,3533.5572795895755,140426,182.8800000000023,4621.3720000064595
65,2771456.176000004,2749978.774999993,-751830.0,21754927.85492807,27499978.368041083,5745050.513113014,-14555.603759323247,0.11616953383272816,0.00031827269543213194,2.419459781873229,-0.038533900011156176,3484.02208589745,142598,184.31999999999388,6919.496000006811
66,2749978.774999993,2811213.1270000003,1174200.0,21762194.19196433,27557737.356230635,5795543.164266307,65025.32522581052,0.06359405214681249,0.0001742302798542808,2.4156146410530237,0.05257548168591567,3478.485083116354,144820,190.08000000000442,3787.852000005283
67,2811213.1270000003,2783698.7399999974,-2683090.0,21774422.841507167,27526725.122560415,5752302.281053249,-18783.584127381444,0.14641127563116174,0.00040112678255112803,2.430540678926459,-0.08281722348434925,3499.978577654101,146944,191.52000000000314,8728.671000008353
68,2783698.7399999974,3052803.002999994,1250070.0,21783384.973475583,27792339.142124016,6008954.168648433,274576.15153201716,0.09170938758220329,0.0002512585961156255,2.4256152858680204,0.054701888048958446,3492.8860116499495,149148,213.11999999999676,5469.246000007884
69,3052803.002999994,2925730.0970000005,776570.0,21790080.38098173,27661692.222421408,5871611.841439679,-123951.51219646307,0.05229314229707818,0.00014326888300569365,2.4845003884974406,0.03941624528512511,3577.6805594363145,151330,204.47999999999655,3117.7270000060257
70,2925730.0970000005,2771693.5160000008,-2586620.0,21801601.985827185,27504117.187288757,5702515.201461572,-146053.43028719444,0.13370196636195025,0.0003663067571560281,2.4589103358126647,-0.08140882406487206,3540.8308835702373,153521,195.83999999999634,7980.774000006958
71,2771693.5160000008,2956211.993000001,4044650.0,21807255.86145278,27685146.946090095,5877891.084637314,186683.63442693278,0.03624301808376652,9.929593995552473e-05,2.4258657546705,0.09745894827818373,3493.24668672552,155617,210.23999999999307,2160.6290000004838
72,2956211.993000001,3131343.6610000026,5219630.0,21806656.008134525,27856722.454854894,6050066.446720369,170975.6554465443,-0.0695501296996049,-0.00019054830054686275,2.467329604854806,0.10579314778337143,3552.9546309909206,157779,226.08000000000598,-4152.808000005936
73,3131343.6610000026,2753155.8860000023,-7891220.0,21813122.05981721,27474934.9827582,5661812.922940992,-375321.42041400913,0.047969140795160264,0.00013142230354838428,2.5026442646185534,-0.11751927049476517,3603.807741050717,159904,200.16000000000383,2862.2440000065785
74,2753155.8860000023,2596073.0639999947,1172830.0,21816354.913581602,27314351.80982254,5497996.896240938,-157350.31917127036,-0.004475326981495602,-1.2261169812316716e-05,2.4228220246291623,0.052444467776655866,3488.8637154659937,162037,192.95999999999358,-256.01000000016575
75,2596073.0639999947,2828992.6819999954,-2658280.0,21824442.674202513,27543840.845720366,5719398.171517853,237576.7965187342,0.07790497722067877,0.0002134382937552843,2.384731717100715,-0.08238030420217436,3434.01367262503,164213,210.23999999999307,4653.74700000782
76,2828992.6819999954,3141192.358000004,971220.0,21829849.94710304,27852529.90654666,6022679.959443621,314096.33372682054,0.03171529172029535,8.689121019259e-05,2.4415194235227045,0.046189685500383416,3515.7879698726947,166424,236.15999999999258,1891.4849999977512
