"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
81,2743196.2130000032,2813705.658,51294359.13789368,21948986.6639591,27357802.84705615,5408816.18309705,65050.728918448556,-0.09075299779444077,-0.0002486383501217555,4.058788464027118,0.1459153092841825,5844.65538819905,176806,309.00899999999996,-5454.712000010437
82,2813705.658,2852082.2909999993,-53599781.98358154,21958193.436956175,27390301.289400533,5432107.852444358,41705.2153414567,0.055337724489849416,0.00015161020408177922,4.085742408778542,-0.14609072228429018,5883.469068641101,178945,313.72600000000057,3323.3040000081032
83,2852082.2909999993,2807843.195,-35312826.52775192,21976096.346381325,27340158.65275416,5364062.306372836,-32239.727221221197,0.19940583300986925,0.0005463173507119706,4.1015968548386175,-0.14406810852001983,5906.2994709676095,181114,311.77500000000015,11996.610000016668
84,2807843.195,2797413.7390000024,46705591.22783661,21985224.445485316,27323847.017308388,5338622.571823072,-7183.536341784056,0.05389689480530532,0.0001476627254939872,4.088596651696407,0.14550893820456393,5887.579178442826,183287,311.9469999999998,3240.5200000084765
85,2797413.7390000024,2755082.7409999967,17300216.47251892,21986050.58703778,27275627.144758835,5289576.557721056,-47393.73099709069,-0.08402930287924582,-0.0002302172681623173,4.086373254947066,0.13792619768455114,5884.377487123776,185384,308.478,-5058.23600001129
86,2755082.7409999967,2750717.6539999973,-34835943.230903625,21995518.475602943,27265406.278715152,5269887.803112209,-752.9774785200134,0.05995022091726915,0.00016424718059525795,4.070339332479607,-0.14397952379651496,5861.288638770635,187541,308.25199999999995,3606.600000008368
87,2750717.6539999973,2829758.7009999994,-27503512.046905518,22013432.506456852,27338588.84546262,5325156.339005768,91096.59760137461,0.2,0.0005479452054794521,4.070397154206189,-0.14237729117008555,5861.371902056912,189644,318.2079999999997,12052.659000017502
88,2829758.7009999994,2745049.700999997,80525006.93024063,22022509.951285914,27247976.23709911,5225466.2858131975,-81535.16353444615,0.05261057836574018,0.00014413857086504158,4.103710352693806,0.14738942163425983,5909.3429078790805,191875,311.99200000000053,3168.1020000089115
89,2745049.700999997,2701629.995000005,-106854463.77624512,22040442.772397503,27198694.052635446,5158251.280237943,-31349.36335207615,0.2,0.0005479452054794521,4.073181361926704,-0.14803166203974166,5865.381161174453,194041,306.5769999999995,12067.440000018027
90,2701629.995000005,2755975.4620000017,55976300.79507065,22049529.462318238,27247199.918855138,5197670.4565369,57592.55614042515,0.05375905137130929,0.00014728507225016243,4.059277777750012,0.14624094862869072,5845.3599999600165,196173,314.6649999999996,3241.330000008972
91,2755975.4620000017,2719917.685000003,29147574.73341751,22050033.198498018,27205258.76390409,5155225.565406073,-41437.41877126647,-0.08902892347638833,-0.00024391485883942007,4.082438270584835,0.14278797484769762,5878.711109642163,198368,313.2420000000002,-5374.975000012135
92,2719917.685000003,2847959.632000004,-24270671.630210876,22059046.905731887,27327448.365589444,5268401.459857557,131203.3089192221,0.05231695546789608,0.0001433341245695783,4.068359247362948,-0.1413458789442844,5858.437316202645,200564,328.8030000000002,3155.2700000093423
93,2847959.632000004,2789035.0540000005,-8159441.885433197,22075680.62064699,27262595.92254037,5186915.30189338,-48218.72813396808,0.17709671738613272,0.0004851964859894047,4.11892567379805,-0.12477976191823664,5931.252970269193,202720,324.3340000000006,10702.462000020038
94,2789035.0540000005,2795707.6070000045,-22817586.456745148,22093680.799148727,27263367.795463953,5169686.996315226,18772.051425320096,0.2,0.0005479452054794521,4.10000385738619,-0.14078741262034766,5904.005554636114,204907,326.1279999999998,12096.173000018773
95,2795707.6070000045,2780101.3059999943,9804571.17917633,22103896.807118017,27241854.629228696,5137957.822110679,-11297.158265967853,0.07117040926871626,0.00019498742265401715,4.1058847552608055,0.12882959073128375,5912.47404757556,207141,327.6820000000003,4303.53400001036
96,2780101.3059999943,2811105.169999998,-49840202.70240784,22121915.163386893,27266955.09774856,5145039.934361666,43118.82478873851,0.2,0.0005479452054794521,4.101828001790102,-0.14576657549839211,5906.632322577746,209365,332.13200000000006,12111.724000019369
